track_id,track_name,album,artist,plist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7phU6wKiwJLfxG4ShQUIPN,Front Back (feat. UGK),King,T.I.,Matt Music,0.837,0.665,9,-9.299,0,0.117,0.018,0.0,0.339,0.795,78.019,audio_features,spotify:track:7phU6wKiwJLfxG4ShQUIPN,https://api.spotify.com/v1/tracks/7phU6wKiwJLfxG4ShQUIPN,https://api.spotify.com/v1/audio-analysis/7phU6wKiwJLfxG4ShQUIPN,222853,4
7pj6P5WnxkZsw3XRc8eMe1,Count Me Out,Mr. Morale & The Big Steppers,Kendrick Lamar,Matt Music,0.776,0.431,4,-7.544,0,0.091,0.671,0.0,0.153,0.495,133.999,audio_features,spotify:track:7pj6P5WnxkZsw3XRc8eMe1,https://api.spotify.com/v1/tracks/7pj6P5WnxkZsw3XRc8eMe1,https://api.spotify.com/v1/audio-analysis/7pj6P5WnxkZsw3XRc8eMe1,283642,4
7pkgwdoJalqcO0kyKgelVY,Link's Awakening - Mysterious Woods,Legend Of Zelda,Good Knight Productions,Just Fuck Me Up Fam,0.539,0.628,1,-10.87,1,0.0374,0.00673,0.806,0.112,0.887,100.039,audio_features,spotify:track:7pkgwdoJalqcO0kyKgelVY,https://api.spotify.com/v1/tracks/7pkgwdoJalqcO0kyKgelVY,https://api.spotify.com/v1/audio-analysis/7pkgwdoJalqcO0kyKgelVY,143080,4
7q0aQpiLv5tIsupcgQ3Ny4,Budapest,Wanted on Voyage,George Ezra,Matt Music,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,audio_features,spotify:track:7q0aQpiLv5tIsupcgQ3Ny4,https://api.spotify.com/v1/tracks/7q0aQpiLv5tIsupcgQ3Ny4,https://api.spotify.com/v1/audio-analysis/7q0aQpiLv5tIsupcgQ3Ny4,200733,4
7qGJDgdy4CESdIadhVsIGA,The Human Centipede,The Human Centipede,Ski Mask The Slump God,Matt Music,0.902,0.675,2,-6.717,1,0.164,0.182,0.0,0.12,0.62,130.118,audio_features,spotify:track:7qGJDgdy4CESdIadhVsIGA,https://api.spotify.com/v1/tracks/7qGJDgdy4CESdIadhVsIGA,https://api.spotify.com/v1/audio-analysis/7qGJDgdy4CESdIadhVsIGA,140356,4
7qT7NUDywO7vNJNTNxqWiN,Wrist,Bobby Tarantino,Logic,SHOTCLOCK BANGERS,0.854,0.685,9,-5.319,0,0.242,0.00865,4.72e-06,0.0727,0.526,139.988,audio_features,spotify:track:7qT7NUDywO7vNJNTNxqWiN,https://api.spotify.com/v1/tracks/7qT7NUDywO7vNJNTNxqWiN,https://api.spotify.com/v1/audio-analysis/7qT7NUDywO7vNJNTNxqWiN,205733,4
7qTHHJ8MeXEKBVuopWdw4b,Roc Boys (And The Winner Is)...,American Gangster,JAY-Z,Matt Music,0.656,0.923,11,-1.647,1,0.252,0.0356,0.0,0.156,0.67,94.623,audio_features,spotify:track:7qTHHJ8MeXEKBVuopWdw4b,https://api.spotify.com/v1/tracks/7qTHHJ8MeXEKBVuopWdw4b,https://api.spotify.com/v1/audio-analysis/7qTHHJ8MeXEKBVuopWdw4b,252107,4
7qcxGQNLJup67pQwTKsR8E,Roll Call (feat. Mya),At What Cost,GoldLink,Matt Music,0.637,0.733,11,-6.052,0,0.296,0.222,0.0,0.0428,0.848,119.407,audio_features,spotify:track:7qcxGQNLJup67pQwTKsR8E,https://api.spotify.com/v1/tracks/7qcxGQNLJup67pQwTKsR8E,https://api.spotify.com/v1/audio-analysis/7qcxGQNLJup67pQwTKsR8E,200327,4
7qjGLDhbtjTEgo8oPMjJ3a,The Legend Of Zelda: Ocarina Of Time - Ganondorf's Battle,The Legend Of Zelda Vol.5,Good Knight Productions,Just Fuck Me Up Fam,0.66,0.459,8,-12.166,1,0.0527,0.632,0.894,0.105,0.715,120.007,audio_features,spotify:track:7qjGLDhbtjTEgo8oPMjJ3a,https://api.spotify.com/v1/tracks/7qjGLDhbtjTEgo8oPMjJ3a,https://api.spotify.com/v1/audio-analysis/7qjGLDhbtjTEgo8oPMjJ3a,122880,5
7qnqRTeA8cv9EicH9OyPdm,Quintana (feat. Wale),"We Run This, Vol. 10 (Mixed By Mr. E)",Travis Scott,SHOTCLOCK BANGERS,0.654,0.761,1,-7.202,1,0.0759,0.168,0.0,0.248,0.18,121.883,audio_features,spotify:track:7qnqRTeA8cv9EicH9OyPdm,https://api.spotify.com/v1/tracks/7qnqRTeA8cv9EicH9OyPdm,https://api.spotify.com/v1/audio-analysis/7qnqRTeA8cv9EicH9OyPdm,294437,4
7rdyAfIm1t6h6I1gyLtD17,Clubhouse,GO:OD AM,Mac Miller,Matt Music,0.785,0.616,0,-5.927,0,0.239,0.235,0.0,0.2,0.907,115.187,audio_features,spotify:track:7rdyAfIm1t6h6I1gyLtD17,https://api.spotify.com/v1/tracks/7rdyAfIm1t6h6I1gyLtD17,https://api.spotify.com/v1/audio-analysis/7rdyAfIm1t6h6I1gyLtD17,180867,4
7rlCeTnjn0plPZkVAcctPZ,Bills,Bills,LunchMoney Lewis,Matt Music,0.699,0.747,5,-3.453,1,0.0964,0.274,0.0,0.486,0.683,126.001,audio_features,spotify:track:7rlCeTnjn0plPZkVAcctPZ,https://api.spotify.com/v1/tracks/7rlCeTnjn0plPZkVAcctPZ,https://api.spotify.com/v1/audio-analysis/7rlCeTnjn0plPZkVAcctPZ,204600,4
7rrPANmUDxWbA9e6rtenLa,Everybody,Everybody,Bentley,Matt Music,0.787,0.864,9,-4.092,0,0.281,0.0116,0.0,0.182,0.651,100.102,audio_features,spotify:track:7rrPANmUDxWbA9e6rtenLa,https://api.spotify.com/v1/tracks/7rrPANmUDxWbA9e6rtenLa,https://api.spotify.com/v1/audio-analysis/7rrPANmUDxWbA9e6rtenLa,199175,4
7s25THrKz86DM225dOYwnr,Respect,I Never Loved a Man the Way I Love You,Aretha Franklin,Soul,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600,4
7s5ML7zaUSxb5UsvsqQTSd,BOOGIE,BOOGIE,BROCKHAMPTON,Matt Music,0.604,0.933,1,-3.034,1,0.214,0.0137,0.0,0.37,0.28,110.029,audio_features,spotify:track:7s5ML7zaUSxb5UsvsqQTSd,https://api.spotify.com/v1/tracks/7s5ML7zaUSxb5UsvsqQTSd,https://api.spotify.com/v1/audio-analysis/7s5ML7zaUSxb5UsvsqQTSd,193155,4
7sLDnUauivS2vN6Z9EfUJT,1942 Flows,Wins & Losses,Meek Mill,Matt Music,0.63,0.628,2,-4.016,1,0.327,0.0515,0.0,0.091,0.266,121.307,audio_features,spotify:track:7sLDnUauivS2vN6Z9EfUJT,https://api.spotify.com/v1/tracks/7sLDnUauivS2vN6Z9EfUJT,https://api.spotify.com/v1/audio-analysis/7sLDnUauivS2vN6Z9EfUJT,282667,5
7sLpSWxQazJzDVG6YGzlVs,99 Problems,The Black Album,JAY-Z,Matt Music,0.494,0.887,6,-4.297,0,0.398,0.00661,0.0,0.103,0.548,89.554,audio_features,spotify:track:7sLpSWxQazJzDVG6YGzlVs,https://api.spotify.com/v1/tracks/7sLpSWxQazJzDVG6YGzlVs,https://api.spotify.com/v1/audio-analysis/7sLpSWxQazJzDVG6YGzlVs,234627,4
7sapKrjDij2fpDVj0GxP66,She Will Be Loved,Songs About Jane,Maroon 5,Best of the Best of the Best,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.0,0.132,0.544,102.032,audio_features,spotify:track:7sapKrjDij2fpDVj0GxP66,https://api.spotify.com/v1/tracks/7sapKrjDij2fpDVj0GxP66,https://api.spotify.com/v1/audio-analysis/7sapKrjDij2fpDVj0GxP66,257133,4
7sb2qiE0af4NggQPa5FkYY,Little Weapon (feat. Bishop G & Nikki Jean),Lupe Fiasco's The Cool,Lupe Fiasco,Best of the Best of the Best,0.723,0.808,11,-6.32,0,0.203,0.0746,0.0,0.196,0.336,109.958,audio_features,spotify:track:7sb2qiE0af4NggQPa5FkYY,https://api.spotify.com/v1/tracks/7sb2qiE0af4NggQPa5FkYY,https://api.spotify.com/v1/audio-analysis/7sb2qiE0af4NggQPa5FkYY,245853,4
7sd72KZS8D59g5NmhxyHpJ,Toast,Rapture EP,Koffee,Matt Music,0.906,0.638,10,-7.917,0,0.256,0.0342,1.7e-05,0.0725,0.789,99.959,audio_features,spotify:track:7sd72KZS8D59g5NmhxyHpJ,https://api.spotify.com/v1/tracks/7sd72KZS8D59g5NmhxyHpJ,https://api.spotify.com/v1/audio-analysis/7sd72KZS8D59g5NmhxyHpJ,191502,4
